Entity,Code,Year,nuclear_weapons_depl_strat,nuclear_weapons_depl_nonstrat,nuclear_weapons_reserve_nondepl,nuclear_weapons_retired
China,CHN,2022,0,0,350,0
China,CHN,2023,0,0,410,0
France,FRA,2022,280,0,10,0
France,FRA,2023,280,0,10,0
India,IND,2022,0,0,160,0
India,IND,2023,0,0,164,0
Israel,ISR,2022,0,0,90,0
Israel,ISR,2023,0,0,90,0
North Korea,PRK,2022,0,0,20,0
North Korea,PRK,2023,0,0,30,0
Pakistan,PAK,2022,0,0,165,0
Pakistan,PAK,2023,0,0,170,0
Russia,RUS,2022,1588,0,2889,1500
Russia,RUS,2023,1674,0,2815,1400
United Kingdom,GBR,2022,120,0,60,45
United Kingdom,GBR,2023,120,0,105,0
United States,USA,2022,1644,100,1964,1720
United States,USA,2023,1670,100,1938,1536